,City,Station,Date,FromDate,ToDate,PM2.5,PM10,NO,NO2,NH3,SO2,CO,Benzene,Ozone,CH4,CO2,BlackCarbon,I1(PM2.5),I2(PM10),I3(NO),I4(NO2),I5(NH3),I6(SO2),I7(CO),I1(PM2.5).1,I2(PM10).1,I3(NO).1,I4(NO2).1,I5(NH3).1,I6(SO2).1,I7(CO).1,AQI
10,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",20/11/2020,20-11-202000:00,21-11-202000:00,63.49,202.06,58.79,43.61,129.57,3.14,1.81,5,8.76,,420.15,,63.49,168.04,58.79,43.61,119.7133333,3.14,1.81,1,1,1,1,1,1,1,168.04
11,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",21/11/2020,21-11-202000:00,22-11-202000:00,76.97,217.39,85.96,71.93,137.6,5.79,1.61,5,9.52,,438.71,,76.97,178.26,85.96,71.93,125.0666667,5.79,1.61,1,1,1,1,1,1,1,178.26
12,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",22/11/2020,22-11-202000:00,23-11-202000:00,88.29,230.37,54.2,36.26,119.68,6.87,1.25,5,13.21,,443.01,,88.29,186.9133333,54.2,36.26,113.12,6.87,1.25,1,1,1,1,1,1,1,186.9133333
13,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",23/11/2020,23-11-202000:00,24-11-202000:00,26.9,208.05,63.41,40.52,130.48,2.69,1.31,5,6.3,,465.17,,26.9,172.0333333,63.41,40.52,120.32,2.69,1.31,1,1,1,1,1,1,1,172.0333333
14,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",24/11/2020,24-11-202000:00,25-11-202000:00,26.57,211.7,64.63,84.45,123.31,7.25,1.02,5,10.78,,450.01,,26.57,174.4666667,64.63,84.45,115.54,7.25,1.02,1,1,1,1,1,1,1,174.4666667
15,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",25/11/2020,25-11-202000:00,26-11-202000:00,26.7,296.09,78.79,47.53,155.48,2.61,1.21,5,9.91,,480.92,,26.7,246.09,78.79,47.53,136.9866667,2.61,1.21,1,1,1,1,1,1,1,246.09
16,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",26/11/2020,26-11-202000:00,27-11-202000:00,26.94,289.34,77.48,48.7,156.42,2.96,1.11,5,14.33,,458.61,,26.94,239.34,77.48,48.7,137.6133333,2.96,1.11,1,1,1,1,1,1,1,239.34
17,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",27/11/2020,27-11-202000:00,28-11-202000:00,71.26,219.55,76.12,77.59,142.94,8.18,0.97,5,7.11,,443.98,,71.26,179.7,76.12,77.59,128.6266667,8.18,0.97,1,1,1,1,1,1,1,179.7
18,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",28/11/2020,28-11-202000:00,29-11-202000:00,26.8,183.97,48.41,84.25,109.04,6.14,1.32,5,19.96,,428.39,,26.8,155.98,48.41,84.25,106.0266667,6.14,1.32,1,1,1,1,1,1,1,155.98
19,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",29/11/2020,29-11-202000:00,30-11-202000:00,47.99,132.12,55.2,29.69,100.97,6,1.1,5,8.12,,430.4,,47.99,121.4133333,55.2,29.69,100.6466667,6,1.1,1,1,1,1,1,1,1,121.4133333
20,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",30/11/2020,30-11-202000:00,01-12-202000:00,27.21,170.86,58.82,36.28,121.77,2.7,1.35,5,18.33,,452.61,,27.21,147.24,58.82,36.28,114.5133333,2.7,1.35,1,1,1,1,1,1,1,147.24
21,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",01/12/2020,01-12-202000:00,02-12-202000:00,30.33,201.59,45.28,38.93,110.16,2.47,1.59,5,21,,454.8,,30.33,167.7266667,45.28,38.93,106.7733333,2.47,1.59,1,1,1,1,1,1,1,167.7266667
22,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",02/12/2020,02-12-202000:00,03-12-202000:00,27.29,226.68,55.45,77.72,109.69,6.45,1.44,5.01,21.88,,461.19,,27.29,184.4533333,55.45,77.72,106.46,6.45,1.44,1,1,1,1,1,1,1,184.4533333
23,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",03/12/2020,03-12-202000:00,04-12-202000:00,27.5,200.2,51.76,40.19,116.41,10.3,1.25,5,12.05,,454.53,,27.5,166.8,51.76,40.19,110.94,10.3,1.25,1,1,1,1,1,1,1,166.8
24,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",04/12/2020,04-12-202000:00,05-12-202000:00,26.47,257.35,69.65,44.45,138.81,17.67,1.89,5,20.8,,445.45,,26.47,207.35,69.65,44.45,125.8733333,17.67,1.89,1,1,1,1,1,1,1,207.35
25,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",05/12/2020,05-12-202000:00,06-12-202000:00,26.13,275.72,69.18,48.51,141.55,17.24,1.69,5,9.89,,460.03,,26.13,225.72,69.18,48.51,127.7,17.24,1.69,1,1,1,1,1,1,1,225.72
26,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",06/12/2020,06-12-202000:00,07-12-202000:00,26.22,207.37,38.67,40.31,99.86,11.64,1.12,5,19.41,,422.63,,26.22,171.58,38.67,40.31,99.86,11.64,1.12,1,1,1,1,1,1,1,171.58
27,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",07/12/2020,07-12-202000:00,08-12-202000:00,26.44,233.17,73.85,84.58,125.53,36.24,1.43,5,13.55,,439.55,,26.44,188.78,73.85,84.58,117.02,36.24,1.43,1,1,1,1,1,1,1,188.78
28,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",08/12/2020,08-12-202000:00,09-12-202000:00,26.55,218.01,57.85,68.11,118.3,12.6,0.85,5,8.59,,429.49,,26.55,178.6733333,57.85,68.11,112.2,12.6,0.85,1,1,1,1,1,1,1,178.6733333
29,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",09/12/2020,09-12-202000:00,10-12-202000:00,27.69,215.21,59.19,38.9,121.88,15.58,1.03,4.99,11.91,,445.62,,27.69,176.8066667,59.19,38.9,114.5866667,15.58,1.03,1,1,1,1,1,1,1,176.8066667
30,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",10/12/2020,10-12-202000:00,11-12-202000:00,69.33,219.76,54.52,75.87,110.6,33.94,0.9,4.99,14.88,,428.01,,69.33,179.84,54.52,75.87,107.0666667,33.94,0.9,1,1,1,1,1,1,1,179.84
31,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",11/12/2020,11-12-202000:00,12-12-202000:00,130.62,239,71.19,33.96,130.66,13.92,1.09,5,5.8,,432.91,,120.4133333,192.6666667,71.19,33.96,120.44,13.92,1.09,1,1,1,1,1,1,1,192.6666667
32,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",12/12/2020,12-12-202000:00,13-12-202000:00,141.75,166,49.25,34.92,105.79,9.97,0.86,5,3.16,,434.81,,127.8333333,144,49.25,34.92,103.86,9.97,0.86,1,1,1,1,1,1,1,144
33,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",13/12/2020,13-12-202000:00,14-12-202000:00,141.03,164.53,32.86,32.08,85.04,8.89,0.56,5,4.19,,414.3,,127.3533333,143.02,32.86,32.08,85.04,8.89,0.56,1,1,1,1,1,1,1,143.02
34,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",14/12/2020,14-12-202000:00,15-12-202000:00,140.37,161.72,63.01,34.39,103.07,20.41,0.83,5,4.14,,427.97,,126.9133333,141.1466667,63.01,34.39,102.0466667,20.41,0.83,1,1,1,1,1,1,1,141.1466667
35,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",15/12/2020,15-12-202000:00,16-12-202000:00,167.55,197.51,38.76,35.93,88.19,10.01,0.5,5,6.07,,437.73,,145.0333333,165.0066667,38.76,35.93,88.19,10.01,0.5,1,1,1,1,1,1,1,165.0066667
36,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",16/12/2020,16-12-202000:00,17-12-202000:00,191.2,229.13,49.76,35.3,95.68,10.6,0.61,5,5.64,,447.31,,160.8,186.0866667,49.76,35.3,95.68,10.6,0.61,1,1,1,1,1,1,1,186.0866667
37,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",17/12/2020,17-12-202000:00,18-12-202000:00,199.09,236.11,44.33,35.06,98.83,10.04,0.5,5,10.75,,446.42,,166.06,190.74,44.33,35.06,98.83,10.04,0.5,1,1,1,1,1,1,1,190.74
38,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",18/12/2020,18-12-202000:00,19-12-202000:00,198.03,232.95,57.06,35.33,101.1,10.53,0.39,5,5.54,,381.65,,165.3533333,188.6333333,57.06,35.33,100.7333333,10.53,0.39,1,1,1,1,1,1,1,188.6333333
39,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",19/12/2020,19-12-202000:00,20-12-202000:00,174.47,213.02,57.3,32.37,108.48,9.11,0.31,3.51,5.79,,344.19,,149.6466667,175.3466667,57.3,32.37,105.6533333,9.11,0.31,1,1,1,1,1,1,1,175.3466667
40,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",20/12/2020,20-12-202000:00,21-12-202000:00,160.35,199.23,49.62,27.83,86.04,16.31,0.07,3.13,8.73,,550.49,,140.2333333,166.1533333,49.62,27.83,86.04,16.31,0.07,1,1,1,1,1,1,1,166.1533333
41,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",21/12/2020,21-12-202000:00,22-12-202000:00,152.3,189.67,39.95,62.77,81.94,18.76,0.03,7.25,14.29,,547.9,,134.8666667,159.78,39.95,62.77,81.94,18.76,0.03,1,1,1,1,1,1,1,159.78
42,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",22/12/2020,22-12-202000:00,23-12-202000:00,179.57,212.86,59.11,36.05,102.08,21.16,0.11,3.49,18.15,,452.87,,153.0466667,175.24,59.11,36.05,101.3866667,21.16,0.11,1,1,1,1,1,1,1,175.24
43,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",23/12/2020,23-12-202000:00,24-12-202000:00,203.05,242.2,61.1,36.32,106.91,6.96,0.47,1.47,9.47,,156.87,,168.7,194.8,61.1,36.32,104.6066667,6.96,0.47,1,1,1,1,1,1,1,194.8
44,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",24/12/2020,24-12-202000:00,25-12-202000:00,194.32,231.92,60.21,34.95,106.89,7.91,0.27,2.57,5.8,,336.07,,162.88,187.9466667,60.21,34.95,104.5933333,7.91,0.27,1,1,1,1,1,1,1,187.9466667
45,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",25/12/2020,25-12-202000:00,26-12-202000:00,196.41,231.59,81.99,63.41,125.19,21.21,0.38,1.4,20.61,,315.97,,164.2733333,187.7266667,81.99,63.41,116.7933333,21.21,0.38,1,1,1,1,1,1,1,187.7266667
46,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",26/12/2020,26-12-202000:00,27-12-202000:00,163.58,195.91,53.55,34.38,100.89,8.45,0.24,0.48,10.11,,313.57,,142.3866667,163.94,53.55,34.38,100.5933333,8.45,0.24,1,1,1,1,1,1,1,163.94
47,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",27/12/2020,27-12-202000:00,28-12-202000:00,176.46,210.14,23,62.74,73.79,6.83,0.03,0,12.08,,309.36,,150.9733333,173.4266667,23,62.74,73.79,6.83,0.03,1,1,1,1,1,1,1,173.4266667
48,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",28/12/2020,28-12-202000:00,29-12-202000:00,151.75,174.74,17.07,40.67,80.21,3.17,0.24,0,7.87,,379.19,,134.5,149.8266667,17.07,40.67,80.21,3.17,0.24,1,1,1,1,1,1,1,149.8266667
49,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",29/12/2020,29-12-202000:00,30-12-202000:00,171.39,198.91,27.32,78.24,89.11,7.3,0.7,0,16.2,,386.47,,147.5933333,165.94,27.32,78.24,89.11,7.3,0.7,1,1,1,1,1,1,1,165.94
50,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",30/12/2020,30-12-202000:00,31-12-202000:00,194.34,225.96,23.11,42.41,96.06,3.16,0.93,0,6.48,,318.41,,162.8933333,183.9733333,23.11,42.41,96.06,3.16,0.93,1,1,1,1,1,1,1,183.9733333
51,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",31/12/2020,31-12-202000:00,01-01-202100:00,196.83,230.14,25.96,42.68,98.97,4.55,0.99,0,17.05,,312.98,,164.5533333,186.76,25.96,42.68,98.97,4.55,0.99,1,1,1,1,1,1,1,186.76
52,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",01/01/2021,01-01-202100:00,02-01-202100:00,194.97,228.63,25.28,66.47,83.02,9.86,0.92,0.83,19.58,,312.17,,163.3133333,185.7533333,25.28,66.47,83.02,9.86,0.92,1,1,1,1,1,1,1,185.7533333
53,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",02/01/2021,02-01-202100:00,03-01-202100:00,144.24,212.36,9.59,32.77,65.73,2.79,0.55,2.99,10.01,,389.99,,129.4933333,174.9066667,9.59,32.77,65.73,2.79,0.55,1,1,1,1,1,1,1,174.9066667
54,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",03/01/2021,03-01-202100:00,04-01-202100:00,103.23,187.88,12.38,32.13,65.38,4.79,0.71,3,17.33,,315.27,,102.1533333,158.5866667,12.38,32.13,65.38,4.79,0.71,1,1,1,1,1,1,1,158.5866667
55,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",04/01/2021,04-01-202100:00,05-01-202100:00,122.1,230.8,9.44,35.67,69.02,2.52,0.6,3,7.43,,399.03,,114.7333333,187.2,9.44,35.67,69.02,2.52,0.6,1,1,1,1,1,1,1,187.2
56,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",05/01/2021,05-01-202100:00,06-01-202100:00,99.3,193.26,8.06,38.31,69.21,1.4,0.41,3.01,6.73,,316.91,,99.3,162.1733333,8.06,38.31,69.21,1.4,0.41,1,1,1,1,1,1,1,162.1733333
57,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",06/01/2021,06-01-202100:00,07-01-202100:00,132.6,282.27,12.9,76.87,74.77,5.98,0.58,4.37,4.9,,354.82,,121.7333333,232.27,12.9,76.87,74.77,5.98,0.58,1,1,1,1,1,1,1,232.27
58,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",07/01/2021,07-01-202100:00,08-01-202100:00,150.66,336.33,20.37,33.34,77.91,0.99,0.54,6.95,2.96,,312.96,,133.7733333,286.33,20.37,33.34,77.91,0.99,0.54,1,1,1,1,1,1,1,286.33
59,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",08/01/2021,08-01-202100:00,09-01-202100:00,189.21,367.54,19.36,29.73,71.62,0.71,0.42,7.33,3,,310.32,,159.4733333,321.925,19.36,29.73,71.62,0.71,0.42,1,1,1,1,1,1,1,321.925
60,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",09/01/2021,09-01-202100:00,10-01-202100:00,177.42,353.35,19.77,31.59,72.33,1.57,0.44,6.62,3.13,,317.7,,151.6133333,304.1875,19.77,31.59,72.33,1.57,0.44,1,1,1,1,1,1,1,304.1875
61,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",10/01/2021,10-01-202100:00,11-01-202100:00,165.75,340.83,27.51,53.68,74.7,4.31,0.45,6.92,3.35,,324.69,,143.8333333,290.83,27.51,53.68,74.7,4.31,0.45,1,1,1,1,1,1,1,290.83
62,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",11/01/2021,11-01-202100:00,12-01-202100:00,138.87,313.41,20.13,28.19,73.46,2.4,0.21,6.64,3.3,,328.12,,125.9133333,263.41,20.13,28.19,73.46,2.4,0.21,1,1,1,1,1,1,1,263.41
63,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",12/01/2021,12-01-202100:00,13-01-202100:00,131.76,303.74,26.87,59.24,77.89,8.17,0.21,7.29,6.85,,328.97,,121.1733333,253.74,26.87,59.24,77.89,8.17,0.21,1,1,1,1,1,1,1,253.74
64,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",13/01/2021,13-01-202100:00,14-01-202100:00,110.64,293.08,27.1,35.41,85.16,2.93,0.08,6.82,3.32,,327.37,,107.0933333,243.08,27.1,35.41,85.16,2.93,0.08,1,1,1,1,1,1,1,243.08
65,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",14/01/2021,14-01-202100:00,15-01-202100:00,86.08,246.37,11.13,34.16,69.41,2.15,0.58,6.99,3.44,,324.73,,86.08,197.58,11.13,34.16,69.41,2.15,0.58,1,1,1,1,1,1,1,197.58
66,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",15/01/2021,15-01-202100:00,16-01-202100:00,73.57,202.43,6.95,65.54,64.76,7.88,0.66,4.44,7.05,,322.19,,73.57,168.2866667,6.95,65.54,64.76,7.88,0.66,1,1,1,1,1,1,1,168.2866667
67,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",16/01/2021,16-01-202100:00,17-01-202100:00,51.12,143.94,7.67,71.81,70.05,3.9,0.65,5.53,3.1,,330.81,,51.12,129.2933333,7.67,71.81,70.05,3.9,0.65,1,1,1,1,1,1,1,129.2933333
68,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",17/01/2021,17-01-202100:00,18-01-202100:00,22.87,,9.07,33.62,70.07,3.91,0.44,7.49,2.66,,336.73,,0,0,9.07,33.62,70.07,3.91,0.44,0,0,1,1,1,1,1,
69,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",18/01/2021,18-01-202100:00,19-01-202100:00,60.87,177.8,20.33,61.71,80.07,3.37,0.53,3.7,2.89,,385.43,,60.87,151.8666667,20.33,61.71,80.07,3.37,0.53,1,1,1,1,1,1,1,151.8666667
70,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",19/01/2021,19-01-202100:00,20-01-202100:00,68.7,276.55,37.71,33.49,92.9,3.28,1.2,8.73,4.42,,434.57,,68.7,226.55,37.71,33.49,92.9,3.28,1.2,1,1,1,1,1,1,1,226.55
71,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",20/01/2021,20-01-202100:00,21-01-202100:00,100.33,245.1,55.14,24.77,87.73,2.18,1.44,11.69,2.25,,553.93,,100.22,196.7333333,55.14,24.77,87.73,2.18,1.44,1,1,1,1,1,1,1,196.7333333
72,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",21/01/2021,21-01-202100:00,22-01-202100:00,106.96,217.64,36.13,26.89,77.86,2.55,1.11,7.61,2.24,,507.65,,104.64,178.4266667,36.13,26.89,77.86,2.55,1.11,1,1,1,1,1,1,1,178.4266667
73,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",22/01/2021,22-01-202100:00,23-01-202100:00,68.38,259.32,,,,3.63,1.47,20.94,7.22,,529.19,,68.38,209.32,0,0,0,3.63,1.47,1,1,0,0,0,1,1,209.32
74,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",23/01/2021,23-01-202100:00,24-01-202100:00,125.5,240.99,,,,1.51,1.04,16.69,11.76,,503.19,,117,193.9933333,0,0,0,1.51,1.04,1,1,0,0,0,1,1,193.9933333
75,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",24/01/2021,24-01-202100:00,25-01-202100:00,97.17,185.98,,,,3.06,0.71,13.26,8.14,,481.15,,97.17,157.32,0,0,0,3.06,0.71,1,1,0,0,0,1,1,157.32
76,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",25/01/2021,25-01-202100:00,26-01-202100:00,51.42,236.97,,,,1.27,0.71,19.59,6.76,,485.22,,51.42,191.3133333,0,0,0,1.27,0.71,1,1,0,0,0,1,1,191.3133333
77,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",26/01/2021,26-01-202100:00,27-01-202100:00,46.24,211.34,,,,1.21,0.5,14.01,25.16,,469.26,,46.24,174.2266667,0,0,0,1.21,0.5,1,1,0,0,0,1,1,174.2266667
78,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",27/01/2021,27-01-202100:00,28-01-202100:00,114.73,216.97,,,,1.72,0.68,20.21,7.74,,486.38,,109.82,177.98,0,0,0,1.72,0.68,1,1,0,0,0,1,1,177.98
79,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",28/01/2021,28-01-202100:00,29-01-202100:00,118.45,224.14,,,,1.87,0.51,14.32,9.06,,481.29,,112.3,182.76,0,0,0,1.87,0.51,1,1,0,0,0,1,1,182.76
80,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",29/01/2021,29-01-202100:00,30-01-202100:00,66.33,228.93,,,,1.43,0.51,19.26,8.78,,498.46,,66.33,185.9533333,0,0,0,1.43,0.51,1,1,0,0,0,1,1,185.9533333
81,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",30/01/2021,30-01-202100:00,31-01-202100:00,110.17,209.73,,,,3.28,0.72,16.08,14.21,,496.99,,106.78,173.1533333,0,0,0,3.28,0.72,1,1,0,0,0,1,1,173.1533333
82,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",31/01/2021,31-01-202100:00,01-02-202100:00,113.71,217.69,,,,6.31,0.55,24.33,9.55,,506.66,,109.14,178.46,0,0,0,6.31,0.55,1,1,0,0,0,1,1,178.46
83,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",01/02/2021,01-02-202100:00,02-02-202100:00,103.37,200.49,,,,2.1,0.15,28.63,6.99,,468.21,,102.2466667,166.9933333,0,0,0,2.1,0.15,1,1,0,0,0,1,1,166.9933333
84,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",02/02/2021,02-02-202100:00,03-02-202100:00,93.75,185.63,,,,2.29,0.07,13.58,7.1,,457.32,,93.75,157.0866667,0,0,0,2.29,0.07,1,1,0,0,0,1,1,157.0866667
85,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",03/02/2021,03-02-202100:00,04-02-202100:00,116.77,221.69,,,,5.98,0.16,34.71,8.24,,490.89,,111.18,181.1266667,0,0,0,5.98,0.16,1,1,0,0,0,1,1,181.1266667
86,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",04/02/2021,04-02-202100:00,05-02-202100:00,117.77,224.47,,,,1.96,0.58,14.7,7.03,,500.82,,111.8466667,182.98,0,0,0,1.96,0.58,1,1,0,0,0,1,1,182.98
87,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",05/02/2021,05-02-202100:00,06-02-202100:00,90.12,172.61,,,,1.33,1.34,12.75,8.48,,400.18,,90.12,148.4066667,0,0,0,1.33,1.34,1,1,0,0,0,1,1,148.4066667
88,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",06/02/2021,06-02-202100:00,07-02-202100:00,108.65,210.7,,,,4.12,1.48,5.32,12.26,,406.1,,105.7666667,173.8,0,0,0,4.12,1.48,1,1,0,0,0,1,1,173.8
89,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",07/02/2021,07-02-202100:00,08-02-202100:00,73.67,147.84,,,,5.87,0.78,4.29,34.31,,364.13,,73.67,131.8933333,0,0,0,5.87,0.78,1,1,0,0,0,1,1,131.8933333
90,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",08/02/2021,08-02-202100:00,09-02-202100:00,82.74,167.77,,,,1.75,0.71,7.3,8.53,,379.48,,82.74,145.18,0,0,0,1.75,0.71,1,1,0,0,0,1,1,145.18
91,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",09/02/2021,09-02-202100:00,10-02-202100:00,106.86,189.41,,,,5.47,0.99,1.84,24.12,,397.05,,104.5733333,159.6066667,0,0,0,5.47,0.99,1,1,0,0,0,1,1,159.6066667
92,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",10/02/2021,10-02-202100:00,11-02-202100:00,129.44,239.15,,,,5.66,1.56,6.65,20.27,,440.32,,119.6266667,192.7666667,0,0,0,5.66,1.56,1,1,0,0,0,1,1,192.7666667
93,Mumbai-01,"BandraKurlaComplex,Mumbai-IITM",11/02/2021,11-02-202100:00,12-02-202100:00,208.81,366.55,,,,7.08,1.52,4.79,19.04,,486.94,,172.54,320.6875,0,0,0,7.08,1.52,1,1,0,0,0,1,1,320.6875
